TF1	TF2
BCL6	ZBTB32
BCL6	ZBTB6
BCL6	ZBTB7A
BCL6	ZNF443
BCL6B	FOS
BCL6B	HOXA11
BCL6B	RBPJ
BCL6B	RXRG
BCL6B	ZBTB16
BCL6B	ZIC2
BHLHA15	MYOD1
BHLHA15	MYOG
BHLHA15	NEUROG3
BHLHA15	NHLH2
BHLHA15	PRDM10
BHLHA15	TCF3
BHLHA15	TCF4
BHLHA15	YBX1
BHLHA15	YBX3
BHLHA15	ZFP91
BHLHA15	ZNF579
BHLHE22	BHLHE23
BHLHE22	PRDM8
BHLHE40	BHLHE41
BHLHE40	CEBPB
BHLHE40	CLOCK
BHLHE40	E2F6
BHLHE40	GTF2B
BHLHE40	HIVEP1
BHLHE40	JUN
BHLHE40	MAZ
BHLHE40	MYOD1
BHLHE40	NFIL3
BHLHE40	NPAS2
BHLHE40	NR1D2
BHLHE40	RORB
BHLHE40	RORC
BHLHE40	RUNX1
BHLHE40	RXRA
BHLHE40	SOX15
BHLHE40	STAT3
BHLHE40	TBP
BHLHE40	TBX21
BHLHE40	TCF3
BHLHE40	TP53
BHLHE40	VENTX
BHLHE41	CEBPA
BHLHE41	CEBPB
BHLHE41	CLOCK
BHLHE41	EPAS1
BHLHE41	HIF1A
BHLHE41	MYOD1
BHLHE41	NFIL3
BHLHE41	RORA
BHLHE41	RORC
BHLHE41	RXRA
BNC2	IRF6
BNC2	TP53
BPTF	CXXC5
BPTF	EN1
BPTF	EN2
BPTF	FOXK2
BPTF	GATAD2A
BPTF	GATAD2B
BPTF	HOXA9
BPTF	KCNIP3
BPTF	MAZ
BPTF	MBD2
BPTF	MBD3
BPTF	MTF2
BPTF	MYBL2
BPTF	NFE2L2
BPTF	NR1H2
BPTF	NR1H3
BPTF	NR1H4
BPTF	PGR
BPTF	PHF1
BPTF	POU5F1
BPTF	SMAD3
BPTF	SOX2
BPTF	TFAP4
BPTF	TP53
BPTF	USF1
BPTF	ZNF219
BPTF	ZNF296
BPTF	ZNF512B
BPTF	ZNF784
BRF2	ESR1
BRF2	GTF2B
BRF2	POU2F1
BRF2	SNAPC2
BRF2	SNAPC4
BRF2	SNAPC5
BRF2	TBP
BRF2	TBPL1
BRF2	TBPL2
BRF2	ZNF143
CAMTA1	CAMTA2
CAMTA1	GATA1
CAMTA2	NKX2-5
CAMTA2	ZNF483
CASZ1	NR3C1
CASZ1	SOX7
CASZ1	TBX20
CASZ1	TEAD2
CBX2	E2F6
CBX2	FEV
CBX2	GTF2I
CBX2	HMGA1
CBX2	KDM2B
CBX2	L3MBTL1
CBX2	MECOM
CBX2	MGA
CBX2	MTF2
CBX2	NANOG
CBX2	PBX1
CBX2	PCGF2
CBX2	PCGF6
CBX2	POU5F1
CBX2	RUNX1
CBX2	SCMH1
CBX2	SOX2
CBX2	YY1
CBX2	YY2
CBX2	ZFP42
CBX2	ZKSCAN7
CC2D1A	CPEB1
CCDC169-SOHLH2	SOHLH1
CCDC17	GTF2B
CDC5L	GATA4
CDC5L	KIN
CDC5L	MTF2
CDC5L	MYC
CDC5L	MYCN
CDC5L	MYT1L
CDC5L	NR2C2
CDC5L	POU5F1
CDC5L	SON
CDC5L	TET2
CDC5L	YBX1
CDC5L	ZBTB2
CDC5L	ZNF263
CDC5L	ZNF318
CDC5L	ZNF35
CDC5L	ZNF451
CDC5L	ZNF746
CDC5L	ZNF830
CDX1	CDX2
CDX1	CEBPA
CDX1	GLYR1
CDX1	LEF1
CDX1	MTERF3
CDX1	SOX2
CDX1	TBP
CDX1	ZNF107
CDX1	ZNF121
CDX1	ZNF431
CDX1	ZNF724
CDX2	ELF5
CDX2	EOMES
CDX2	FOXA1
CDX2	FOXE1
CDX2	GATA3
CDX2	GATA6
CDX2	HNF1A
CDX2	KDM5B
CDX2	NANOG
CDX2	NFKB1
CDX2	PAX6
CDX2	PBX1
CDX2	POU3F4
CDX2	POU5F1
CDX2	PRDM14
CDX2	PTF1A
CDX2	RELA
CDX2	SOX2
CDX2	SOX21
CDX2	TEAD4
CDX4	PITX1
CEBPA	CEBPB
CEBPA	CEBPD
CEBPA	CEBPE
CEBPA	CEBPG
CEBPA	CREB1
CEBPA	CTCF
CEBPA	DBP
CEBPA	DDIT3
CEBPA	DNMT1
CEBPA	E2F1
CEBPA	E2F4
CEBPA	ESR1
CEBPA	ETS1
CEBPA	FOS
CEBPA	FOSL1
CEBPA	FOSL2
CEBPA	FOXA1
CEBPA	FOXA2
CEBPA	FOXC1
CEBPA	FOXG1
CEBPA	FOXO1
CEBPA	FOXO3
CEBPA	GATA2
CEBPA	GATA3
CEBPA	GTF2B
CEBPA	HIF1A
CEBPA	HIVEP2
CEBPA	HNF4A
CEBPA	JUN
CEBPA	KLF5
CEBPA	LTF
CEBPA	LYL1
CEBPA	MAF
CEBPA	MAX
CEBPA	MSX2
CEBPA	MYBL2
CEBPA	MYC
CEBPA	NFAT5
CEBPA	NFATC4
CEBPA	NFIB
CEBPA	NFYC
CEBPA	NR1I2
CEBPA	NR3C1
CEBPA	ONECUT1
CEBPA	PAX5
CEBPA	PPARG
CEBPA	RARA
CEBPA	RARB
CEBPA	RELA
CEBPA	RUNX1
CEBPA	RUNX2
CEBPA	SATB1
CEBPA	SIX1
CEBPA	SMAD3
CEBPA	SMAD4
CEBPA	SOX9
CEBPA	SPI1
CEBPA	STAT3
CEBPA	TBP
CEBPA	TCF3
CEBPA	TCF7L2
CEBPA	TFDP1
CEBPA	TFDP2
CEBPA	TP53
CEBPA	USF2
CEBPA	ZBTB16
CEBPA	ZEB2
CEBPA	ZNF45
CEBPB	CEBPD
CEBPB	CEBPG
CEBPB	CREB1
CEBPB	DDIT3
CEBPB	DOT1L
CEBPB	E2F1
CEBPB	E2F4
CEBPB	EGR1
CEBPB	ESR1
CEBPB	FOS
CEBPB	FOSL1
CEBPB	FOSL2
CEBPB	FOXG1
CEBPB	FOXO1
CEBPB	FOXO3
CEBPB	GATA3
CEBPB	HMGA1
CEBPB	HSF1
CEBPB	IRF2
CEBPB	IRF4
CEBPB	IRF7
CEBPB	JUN
CEBPB	JUND
CEBPB	KLF5
CEBPB	MECOM
CEBPB	MYB
CEBPB	MYC
CEBPB	NFIL3
CEBPB	NFKB1
CEBPB	NKX2-1
CEBPB	NR1H3
CEBPB	NR2F1
CEBPB	NR2F2
CEBPB	NR3C1
CEBPB	NR4A1
CEBPB	NRF1
CEBPB	PAX6
CEBPB	PPARA
CEBPB	PPARD
CEBPB	PPARG
CEBPB	PRDM16
CEBPB	RARB
CEBPB	REL
CEBPB	RELA
CEBPB	RORA
CEBPB	RUNX1
CEBPB	RUNX2
CEBPB	SATB2
CEBPB	SIX1
CEBPB	SMAD3
CEBPB	SMAD4
CEBPB	SOX2
CEBPB	SP1
CEBPB	SP3
