TF	SWI/SNF	Mediator	POLII	TFIIF	TFIID	BRD4	TFIIH	TFIIB	TFIIE
RUNX2	1	0	0	0	1	0	0	0	0
SMAD1	1	1	1	0	0	0	1	0	0
SPEN	1	1	0	0	0	0	0	0	0
TCF7L2	1	0	0	0	1	0	1	0	0
TFAP4	1	0	0	0	0	1	0	0	0
TFDP1	1	0	0	0	0	0	1	0	0
TFDP2	1	0	0	0	0	0	1	0	0
ZNF326	1	1	1	0	1	1	0	0	0
ZNF443	1	1	0	0	0	0	0	0	0
E2F1	1	1	1	0	1	1	1	0	0
EPAS1	1	1	1	0	0	0	0	0	0
KDM5B	1	0	0	0	1	1	0	0	0
MEIS1	1	0	1	0	0	0	0	0	0
RLF	1	0	0	0	0	0	0	0	0
STAT3	1	0	0	0	1	1	0	0	0
ARID3A	1	0	0	0	1	0	0	0	0
ARID5B	1	0	0	0	1	0	0	0	0
ATF4	0	0	1	1	1	0	0	1	0
ATF5	0	0	0	0	1	0	0	0	0
ATF6	0	0	0	0	1	0	0	0	0
ATF6B	0	0	0	0	1	0	0	0	0
ATMIN	0	0	0	0	1	0	0	0	0
BARHL1	0	1	0	0	0	0	0	0	0
BARHL2	0	1	0	0	0	0	0	0	0
BCL11B	1	0	0	0	1	0	1	0	0
TERF1	1	0	0	0	1	0	0	0	0
ZNF280C	1	0	0	0	0	0	0	0	0
BHLHE40	1	0	0	0	1	0	0	1	0
BNC1	0	0	0	0	1	0	0	0	0
BPTF	1	0	0	0	1	1	0	0	0
CEBPA	1	1	1	0	1	1	0	1	0
HNF4A	1	1	1	0	1	1	1	0	1
HOXC6	1	0	0	0	0	1	0	0	0
JUNB	1	1	0	1	1	1	0	0	0
TWIST1	0	0	0	0	0	1	0	0	0
ZNF592	0	1	0	0	1	1	0	0	0
HMGA2	1	0	1	0	1	0	0	0	0
IRF2	1	1	0	0	0	0	0	0	0
MYNN	1	1	0	0	0	0	0	0	0
CXXC4	1	0	0	0	0	0	0	0	0
NFE2L1	1	0	0	0	0	0	0	0	0
BRF2	0	0	1	1	1	0	1	1	1
CBX2	0	0	0	0	1	0	0	0	0
CRX	0	1	0	0	0	0	0	0	0
FOXP2	0	1	0	0	0	0	0	0	0
GLYR1	1	1	1	0	1	0	0	1	0
KLF9	1	1	0	0	1	0	1	0	0
MEOX2	1	1	0	0	0	0	0	0	0
NCOA2	1	1	0	0	1	0	0	0	0
NCOA3	1	1	1	0	1	1	1	0	0
PPARG	1	1	0	0	1	0	0	0	0
RBPJ	1	1	1	0	1	0	0	0	0
RXRA	1	1	1	0	1	1	0	0	0
SMAD4	1	1	0	0	1	0	0	0	0
